Time,"__name__=""rsk_txpool_pending_transactions"",instance=""rsk-rpc-exporter:9090"",job=""rsk-rpc-exporter"",node=""rskj-miner1"""
2026-03-17 01:17:07,4
2026-03-17 01:17:37,2
2026-03-17 01:18:07,4
2026-03-17 01:18:37,2
2026-03-17 01:19:07,4
2026-03-17 01:19:37,4
2026-03-17 01:20:07,4
2026-03-17 01:20:37,4
2026-03-17 01:21:07,4
2026-03-17 01:21:37,4
2026-03-17 01:22:07,18
2026-03-17 01:22:37,22
2026-03-17 01:23:07,18
2026-03-17 01:23:37,4
2026-03-17 01:24:07,8
2026-03-17 01:24:37,22
2026-03-17 01:25:07,50
2026-03-17 01:25:37,22
2026-03-17 01:26:07,0
2026-03-17 01:26:37,0
2026-03-17 01:27:07,8
2026-03-17 01:27:37,22
2026-03-17 01:28:07,36
2026-03-17 01:28:37,50
2026-03-17 01:29:07,72
2026-03-17 01:29:37,88
2026-03-17 01:30:07,72
2026-03-17 01:30:37,72
2026-03-17 01:31:07,72
2026-03-17 01:31:37,100
2026-03-17 01:32:07,100
2026-03-17 01:32:37,72
2026-03-17 01:33:07,50
2026-03-17 01:33:37,72
2026-03-17 01:34:07,144
2026-03-17 01:34:37,136
2026-03-17 01:35:07,150
2026-03-17 01:35:37,150
2026-03-17 01:36:07,150
2026-03-17 01:36:37,296
2026-03-17 01:37:07,352
2026-03-17 01:37:37,516
2026-03-17 01:38:07,352
2026-03-17 01:38:37,150
2026-03-17 01:39:07,101
2026-03-17 01:39:37,2
2026-03-17 01:40:07,3
2026-03-17 01:40:37,2
2026-03-17 01:41:07,1
2026-03-17 01:41:37,0
2026-03-17 01:42:07,0
2026-03-17 01:42:37,0
2026-03-17 01:43:07,2
2026-03-17 01:43:37,0
2026-03-17 01:44:07,1
2026-03-17 01:44:37,3
2026-03-17 01:45:07,7
2026-03-17 01:45:37,5
2026-03-17 01:46:07,9
2026-03-17 01:46:37,3
2026-03-17 01:47:07,7
2026-03-17 01:47:37,6
2026-03-17 01:48:07,8
