"Time","rskj-miner1"
2026-01-30 13:32:00,-5.16 KiB
2026-01-30 13:36:00,-5.11 KiB
2026-01-30 13:40:00,-5.05 KiB
2026-01-30 13:44:00,-5.01 KiB
2026-01-30 13:48:00,-5.06 KiB
2026-01-30 13:52:00,-5.10 KiB
2026-01-30 13:56:00,-5.20 KiB
2026-01-30 14:00:00,-5.18 KiB
2026-01-30 14:04:00,-5.20 KiB
2026-01-30 14:08:00,-5.26 KiB
2026-01-30 14:12:00,-5.24 KiB
2026-01-30 14:16:00,-5.25 KiB
2026-01-30 14:20:00,-5.27 KiB
2026-01-30 14:24:00,-5.14 KiB
2026-01-30 14:28:00,-5.08 KiB
2026-01-30 14:32:00,-5.03 KiB
2026-01-30 14:36:00,-4.94 KiB
2026-01-30 14:40:00,-4.87 KiB
2026-01-30 14:44:00,-4.76 KiB
2026-01-30 14:48:00,-4.88 KiB
2026-01-30 14:52:00,-5.01 KiB
2026-01-30 14:56:00,-5.10 KiB
2026-01-30 15:00:00,-5.20 KiB
2026-01-30 15:04:00,-5.34 KiB
2026-01-30 15:08:00,-5.40 KiB
2026-01-30 15:12:00,-5.44 KiB
2026-01-30 15:16:00,-5.21 KiB
2026-01-30 15:20:00,-5.24 KiB
2026-01-30 15:24:00,-5.17 KiB
2026-01-30 15:28:00,-4.98 KiB
2026-01-30 15:32:00,-4.91 KiB
2026-01-30 15:36:00,-4.92 KiB
2026-01-30 15:40:00,-4.94 KiB
