"Time","rskj-node1","rskj-miner2","rskj-miner4","rskj-miner1"
2026-02-10 15:30:00,3.80 GiB,3.91 GiB,3.84 GiB,3.81 GiB
2026-02-10 15:31:00,3.83 GiB,3.91 GiB,3.84 GiB,3.85 GiB
2026-02-10 15:32:00,3.83 GiB,3.91 GiB,3.84 GiB,3.86 GiB
2026-02-10 15:33:00,3.83 GiB,3.91 GiB,3.84 GiB,3.86 GiB
2026-02-10 15:34:00,3.83 GiB,3.91 GiB,3.84 GiB,3.86 GiB
2026-02-10 15:35:00,3.83 GiB,3.91 GiB,3.84 GiB,3.86 GiB
2026-02-10 15:36:00,3.83 GiB,3.91 GiB,3.84 GiB,3.86 GiB
2026-02-10 15:37:00,3.83 GiB,3.91 GiB,3.85 GiB,3.77 GiB
2026-02-10 15:38:00,3.83 GiB,3.91 GiB,3.85 GiB,3.78 GiB
2026-02-10 15:39:00,3.83 GiB,3.91 GiB,3.85 GiB,3.79 GiB
2026-02-10 15:40:00,3.83 GiB,3.91 GiB,3.85 GiB,3.79 GiB
2026-02-10 15:41:00,3.83 GiB,3.91 GiB,3.85 GiB,3.80 GiB
2026-02-10 15:42:00,3.83 GiB,3.91 GiB,3.85 GiB,3.81 GiB
2026-02-10 15:43:00,3.83 GiB,3.91 GiB,3.85 GiB,3.81 GiB
2026-02-10 15:44:00,3.83 GiB,3.91 GiB,3.85 GiB,3.82 GiB
2026-02-10 15:45:00,3.83 GiB,3.91 GiB,3.85 GiB,3.83 GiB
2026-02-10 15:46:00,3.83 GiB,3.91 GiB,3.85 GiB,3.84 GiB
2026-02-10 15:47:00,3.83 GiB,3.92 GiB,3.85 GiB,3.84 GiB
2026-02-10 15:48:00,3.83 GiB,3.92 GiB,3.85 GiB,3.85 GiB
2026-02-10 15:49:00,3.83 GiB,3.92 GiB,3.85 GiB,3.86 GiB
2026-02-10 15:50:00,3.83 GiB,3.73 GiB,3.85 GiB,3.77 GiB
2026-02-10 15:51:00,3.83 GiB,3.73 GiB,3.85 GiB,3.78 GiB
2026-02-10 15:52:00,3.83 GiB,3.73 GiB,3.85 GiB,3.79 GiB
2026-02-10 15:53:00,3.83 GiB,3.73 GiB,3.85 GiB,3.79 GiB
2026-02-10 15:54:00,3.83 GiB,3.73 GiB,3.85 GiB,3.80 GiB
2026-02-10 15:55:00,3.83 GiB,3.73 GiB,3.86 GiB,3.81 GiB
2026-02-10 15:56:00,3.83 GiB,3.73 GiB,3.86 GiB,3.84 GiB
2026-02-10 15:57:00,3.84 GiB,3.74 GiB,3.86 GiB,3.84 GiB
2026-02-10 15:58:00,3.84 GiB,3.74 GiB,3.87 GiB,3.85 GiB
2026-02-10 15:59:00,3.84 GiB,3.74 GiB,3.87 GiB,3.86 GiB
2026-02-10 16:00:00,3.84 GiB,3.74 GiB,3.87 GiB,3.86 GiB
2026-02-10 16:01:00,3.84 GiB,3.74 GiB,3.87 GiB,3.87 GiB
2026-02-10 16:02:00,3.84 GiB,3.74 GiB,3.87 GiB,3.88 GiB
2026-02-10 16:03:00,3.84 GiB,3.74 GiB,3.87 GiB,3.79 GiB
2026-02-10 16:04:00,3.84 GiB,3.74 GiB,3.87 GiB,3.79 GiB
2026-02-10 16:05:00,3.84 GiB,3.74 GiB,3.79 GiB,3.80 GiB
2026-02-10 16:06:00,3.84 GiB,3.75 GiB,3.79 GiB,3.81 GiB
2026-02-10 16:07:00,3.84 GiB,3.75 GiB,3.79 GiB,3.82 GiB
