"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max"
2026-02-10 13:08:45,553 MiB,2.45 GiB,2.52 GiB,2.73 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:09:00,1.01 GiB,2.70 GiB,2.73 GiB,2.08 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:09:15,661 MiB,2.04 GiB,2.08 GiB,2.22 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:09:30,379 MiB,2.35 GiB,2.34 GiB,2.43 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:09:45,823 MiB,2.70 GiB,2.69 GiB,1.98 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:10:00,779 MiB,2.31 GiB,2.27 GiB,2.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:10:15,519 MiB,2.63 GiB,2.58 GiB,2.56 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:10:30,895 MiB,2.73 GiB,2.69 GiB,2.67 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:10:45,772 MiB,2.33 GiB,2.22 GiB,2.18 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:11:00,1.14 GiB,2.53 GiB,2.46 GiB,2.36 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:11:15,800 MiB,2.75 GiB,2.63 GiB,2.52 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:11:30,420 MiB,2.12 GiB,1.99 GiB,2.67 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:11:45,1.05 GiB,2.53 GiB,2.34 GiB,2.24 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:12:00,735 MiB,2.66 GiB,2.46 GiB,2.35 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:12:15,1.16 GiB,2.05 GiB,2.61 GiB,2.47 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:12:30,852 MiB,2.35 GiB,2.11 GiB,2.72 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:12:45,665 MiB,2.11 GiB,2.64 GiB,2.43 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:13:00,1.15 GiB,2.40 GiB,2.13 GiB,2.64 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:13:15,790 MiB,2.68 GiB,2.42 GiB,2.10 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:13:30,453 MiB,2.13 GiB,2.62 GiB,2.26 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:13:45,1.07 GiB,2.52 GiB,2.19 GiB,2.59 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:14:00,744 MiB,2.72 GiB,2.35 GiB,2.71 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:14:15,447 MiB,2.22 GiB,2.64 GiB,2.17 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:14:30,801 MiB,2.48 GiB,2.06 GiB,2.38 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:14:45,685 MiB,2.06 GiB,2.42 GiB,2.72 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:15:00,535 MiB,2.23 GiB,2.55 GiB,2.03 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:15:15,771 MiB,2.42 GiB,2.74 GiB,2.19 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:15:30,731 MiB,2.66 GiB,2.16 GiB,2.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:15:45,623 MiB,2.31 GiB,2.57 GiB,1.99 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:16:00,1010 MiB,2.46 GiB,2.71 GiB,2.11 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:16:15,623 MiB,2.64 GiB,2.06 GiB,2.23 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:16:30,1.05 GiB,2.02 GiB,2.23 GiB,2.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:16:45,892 MiB,2.35 GiB,2.52 GiB,2.69 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:17:00,550 MiB,2.51 GiB,2.68 GiB,2.02 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:17:15,998 MiB,2.13 GiB,2.27 GiB,2.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:17:30,642 MiB,2.28 GiB,2.41 GiB,2.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:17:45,519 MiB,2.69 GiB,2.77 GiB,2.03 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:18:00,998 MiB,2.05 GiB,2.13 GiB,2.15 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:18:15,539 MiB,2.19 GiB,2.24 GiB,2.26 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:18:30,989 MiB,2.37 GiB,2.40 GiB,2.41 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:18:45,861 MiB,2.11 GiB,2.12 GiB,2.08 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:19:00,559 MiB,2.37 GiB,2.34 GiB,2.24 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:19:15,1.04 GiB,2.72 GiB,2.69 GiB,2.56 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:19:30,732 MiB,2.12 GiB,2.05 GiB,2.69 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:19:45,587 MiB,2.53 GiB,2.46 GiB,2.26 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:20:00,964 MiB,2.70 GiB,2.58 GiB,2.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:20:15,625 MiB,2.05 GiB,2.73 GiB,2.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:20:30,1.18 GiB,2.40 GiB,2.24 GiB,1.99 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
