"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-03 14:15:00,18.4%,16.2%,16.4%,19.1%,23.9%,17.0%
2026-02-03 14:16:00,22.2%,40.1%,17.4%,23.0%,17.8%,17.7%
2026-02-03 14:17:00,14.1%,26.8%,12.0%,14.6%,13.0%,15.6%
2026-02-03 14:18:00,11.6%,12.9%,13.7%,14.8%,12.3%,13.5%
2026-02-03 14:19:00,26.8%,22.6%,20.3%,20.5%,19.4%,20.6%
2026-02-03 14:20:00,28.3%,15.9%,17.0%,19.4%,19.3%,17.5%
2026-02-03 14:21:00,24.1%,26.5%,28.4%,31.6%,22.7%,24.3%
2026-02-03 14:22:00,21.4%,21.7%,10.1%,13.3%,11.3%,11.5%
2026-02-03 14:23:00,22.7%,13.3%,18.4%,18.7%,16.7%,18.3%
2026-02-03 14:24:00,12.0%,8.88%,10.9%,12.8%,10.0%,12.8%
2026-02-03 14:25:00,13.8%,10.9%,17.7%,19.9%,5.31%,14.2%
2026-02-03 14:26:00,17.8%,6.24%,12.2%,14.3%,7.85%,14.4%
2026-02-03 14:27:00,14.1%,13.5%,10.8%,12.7%,9.73%,13.3%
2026-02-03 14:28:00,25.9%,22.2%,10.9%,12.8%,11%,17.8%
2026-02-03 14:29:00,12.2%,11.7%,11.8%,12%,18.2%,22.3%
2026-02-03 14:30:00,14.9%,22.2%,11.4%,14.1%,6.56%,13.3%
2026-02-03 14:31:00,24.9%,12.7%,15.1%,16.9%,17.4%,17.9%
2026-02-03 14:32:00,9.78%,11.4%,18.1%,16.0%,18.2%,13.1%
2026-02-03 14:33:00,25.7%,50.1%,17.7%,19.7%,14.4%,20.5%
2026-02-03 14:34:00,17.8%,22.1%,17.8%,15.4%,17.3%,19.3%
2026-02-03 14:35:00,17.1%,15.1%,14.9%,11.0%,13.0%,15.8%
2026-02-03 14:36:00,25.1%,22.4%,11.8%,14.5%,12.0%,14.0%
2026-02-03 14:37:00,10.7%,11.2%,12.3%,16.0%,16.6%,8.25%
2026-02-03 14:38:00,13.1%,11.9%,11.3%,13.0%,11.9%,14.1%
2026-02-03 14:39:00,17.4%,19.7%,5.08%,11.8%,16.0%,12.1%
2026-02-03 14:40:00,17.0%,11.2%,13.2%,15.2%,6.10%,7.95%
2026-02-03 14:41:00,11.7%,22.1%,11.9%,8.71%,20.6%,7.25%
2026-02-03 14:42:00,11.6%,12.7%,5.90%,19.2%,17.6%,12.4%
2026-02-03 14:43:00,27.8%,15.9%,22.3%,25.4%,8.29%,15.4%
2026-02-03 14:44:00,27.8%,19.4%,15.3%,19.0%,19.9%,22.5%
2026-02-03 14:45:00,20.1%,19.8%,26.4%,25.5%,21.4%,22.9%
2026-02-03 14:46:00,35.4%,22.0%,21.4%,27.8%,21.0%,20.3%
2026-02-03 14:47:00,24.2%,24.2%,10.7%,15.2%,13.6%,20.6%
2026-02-03 14:48:00,22.8%,16.5%,18.4%,31.3%,19.2%,17.6%
2026-02-03 14:49:00,15.8%,14.7%,5.05%,11.4%,12.2%,13.2%
2026-02-03 14:50:00,30.6%,15.1%,11.8%,12.6%,16.6%,14.7%
2026-02-03 14:51:00,15.8%,14.8%,15.6%,15.9%,17.7%,18.3%
2026-02-03 14:52:00,10.7%,6.53%,18.0%,14.3%,8.83%,17.1%
2026-02-03 14:53:00,15.4%,14.7%,16.1%,16.4%,15.1%,18.3%
2026-02-03 14:54:00,17.3%,17.9%,10.7%,21.3%,16.4%,18.4%
2026-02-03 14:55:00,28.1%,19.9%,10.3%,11.1%,10.6%,12.7%
2026-02-03 14:56:00,7.92%,5.64%,8.86%,0.966%,16.2%,15.8%
2026-02-03 14:57:00,10.9%,8.77%,22.2%,17.7%,16.5%,13.1%
2026-02-03 14:58:00,21.2%,15.7%,12.1%,13.1%,12.1%,13.2%
2026-02-03 14:59:00,6.61%,9.39%,10.7%,6.63%,12.8%,12.9%
2026-02-03 15:00:00,8.78%,31.3%,60.4%,32%,25.3%,26.8%
2026-02-03 15:01:00,16.6%,11.6%,11.0%,7.37%,5.61%,6.68%
2026-02-03 15:02:00,18.2%,21.2%,18.5%,22.2%,34.7%,38.4%
2026-02-03 15:03:00,7.64%,7.41%,5.58%,0.339%,0.508%,12.0%
2026-02-03 15:04:00,10.3%,6.69%,5.05%,9.51%,10.3%,9.22%
2026-02-03 15:05:00,17.7%,12.6%,31.7%,17.3%,15.5%,17.9%
2026-02-03 15:06:00,13.8%,13.1%,9.76%,0.610%,10.7%,6.05%
2026-02-03 15:07:00,9.54%,8.12%,10.7%,6.78%,10.4%,14.5%
2026-02-03 15:08:00,19.6%,7.75%,5.49%,6.59%,4.88%,7.00%
2026-02-03 15:09:00,18.6%,15.3%,11.0%,10.5%,11.5%,12.3%
2026-02-03 15:10:00,4.64%,8.59%,10.1%,6.73%,10.9%,13.2%
2026-02-03 15:11:00,7.17%,3.69%,1.19%,1.19%,6.73%,2.02%
2026-02-03 15:12:00,16.4%,9.63%,6.81%,5.81%,10.4%,6.53%
2026-02-03 15:13:00,4.85%,4.27%,6.83%,12.2%,6.02%,1.14%
2026-02-03 15:14:00,12.7%,12.6%,8.15%,15.0%,8.61%,16.0%
2026-02-03 15:15:00,9.20%,8.31%,7.81%,8.32%,8.15%,10.8%
2026-02-03 15:16:00,13.7%,4.20%,13.2%,11.5%,14.9%,9.29%
2026-02-03 15:17:00,9.17%,8.25%,5.75%,5.76%,5.39%,6.10%
2026-02-03 15:18:00,9.14%,4.15%,5.61%,10.6%,6.05%,5.51%
2026-02-03 15:19:00,8.85%,7.95%,13.7%,10.7%,9.00%,12.1%
2026-02-03 15:20:00,14.2%,15.6%,12.9%,16.1%,18.8%,21.0%
2026-02-03 15:21:00,21.0%,18.4%,20.1%,17.1%,18.7%,18.4%
2026-02-03 15:22:00,6.76%,8.97%,8.63%,11.1%,5.42%,13.3%
2026-02-03 15:23:00,14.0%,6.05%,9.69%,9.34%,12.1%,8.32%
2026-02-03 15:24:00,9.03%,12.8%,4.47%,9.88%,13.4%,14.6%
2026-02-03 15:25:00,8.88%,7.39%,9.41%,9.59%,10.1%,10.9%
2026-02-03 15:26:00,8.27%,3.66%,8.44%,9.98%,4.53%,5.17%
2026-02-03 15:27:00,7.95%,69.8%,20.8%,24.9%,10.3%,18.6%
2026-02-03 15:28:00,8.54%,8.63%,4.32%,10.1%,10.4%,5.44%
2026-02-03 15:29:00,7.22%,4.02%,4.78%,9.54%,9.42%,9.69%
2026-02-03 15:30:00,5.86%,4.58%,5.64%,11.9%,9.54%,10.6%
2026-02-03 15:31:00,8.17%,6.86%,8.75%,10.8%,8.54%,9.95%
2026-02-03 15:32:00,9.02%,3.90%,8.86%,9.88%,9.75%,10.00%
2026-02-03 15:33:00,15.8%,9.39%,8.93%,8.97%,9.90%,13.5%
2026-02-03 15:34:00,19.2%,9.70%,13.8%,14.3%,13.4%,12.4%
2026-02-03 15:35:00,8.85%,26.2%,9.12%,10.1%,9.15%,14.2%
2026-02-03 15:36:00,4.19%,7.36%,9.81%,10.3%,9.47%,11.4%
