"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner3:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-node2:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner3:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max","rskj-node2:8080-max"
2026-02-11 09:12:00,1.89 GiB,1.50 GiB,2.02 GiB,2.12 GiB,1.99 GiB,1.98 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:12:20,1.98 GiB,1.72 GiB,1.45 GiB,1.55 GiB,1.38 GiB,1.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:12:40,1.97 GiB,2.04 GiB,1.72 GiB,1.82 GiB,1.63 GiB,1.65 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:13:00,1.48 GiB,1.63 GiB,2.11 GiB,1.42 GiB,2.02 GiB,2.01 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:13:20,1.55 GiB,2.03 GiB,1.67 GiB,1.77 GiB,1.54 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:13:40,1.58 GiB,1.56 GiB,1.94 GiB,2.04 GiB,1.79 GiB,1.83 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:14:00,1.98 GiB,2.03 GiB,1.65 GiB,1.71 GiB,1.43 GiB,1.43 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:14:20,2.00 GiB,1.51 GiB,1.93 GiB,1.93 GiB,1.62 GiB,1.61 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:14:40,2.16 GiB,1.84 GiB,1.42 GiB,1.47 GiB,1.85 GiB,1.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:15:00,1.67 GiB,1.58 GiB,1.98 GiB,2.04 GiB,1.58 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:15:20,2.12 GiB,1.77 GiB,2.13 GiB,1.38 GiB,1.72 GiB,1.67 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:15:40,1.73 GiB,2.04 GiB,1.60 GiB,1.65 GiB,1.95 GiB,1.93 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:16:00,2.04 GiB,2.00 GiB,1.50 GiB,1.56 GiB,1.80 GiB,1.71 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:16:20,2.03 GiB,1.39 GiB,1.64 GiB,1.70 GiB,1.95 GiB,1.86 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:16:40,2.06 GiB,1.63 GiB,1.86 GiB,1.93 GiB,2.13 GiB,1.28 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:17:00,1.56 GiB,1.33 GiB,1.55 GiB,1.60 GiB,1.70 GiB,1.67 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:17:20,1.63 GiB,1.60 GiB,1.81 GiB,1.86 GiB,1.92 GiB,1.89 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:17:40,1.67 GiB,1.90 GiB,2.07 GiB,2.12 GiB,2.14 GiB,1.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:18:00,2.01 GiB,1.58 GiB,1.74 GiB,1.79 GiB,1.75 GiB,1.73 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:18:20,2.08 GiB,1.82 GiB,1.97 GiB,2.02 GiB,1.96 GiB,1.94 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:18:40,2.13 GiB,1.52 GiB,1.61 GiB,1.65 GiB,1.54 GiB,1.58 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:19:00,1.64 GiB,2.01 GiB,2.15 GiB,1.38 GiB,2.06 GiB,2.05 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:19:20,1.62 GiB,1.42 GiB,1.50 GiB,1.53 GiB,1.41 GiB,1.40 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:19:40,1.70 GiB,1.69 GiB,1.74 GiB,1.76 GiB,1.60 GiB,1.62 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:20:00,2.00 GiB,1.32 GiB,1.39 GiB,1.40 GiB,2.00 GiB,1.95 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:20:20,2.01 GiB,1.61 GiB,1.64 GiB,1.64 GiB,1.40 GiB,1.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:20:40,1.99 GiB,1.89 GiB,1.87 GiB,1.92 GiB,1.65 GiB,1.64 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:21:00,1.76 GiB,1.63 GiB,1.60 GiB,1.63 GiB,2.08 GiB,2.02 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:21:20,2.01 GiB,1.94 GiB,1.88 GiB,1.91 GiB,1.54 GiB,1.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:21:40,2.08 GiB,1.41 GiB,2.13 GiB,2.16 GiB,1.75 GiB,1.75 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
