"Time","rskj-miner1","rskj-miner2","rskj-node2","rskj-miner4","rskj-miner3","rskj-node1"
2026-02-11 10:40:00,3.18 GiB,3.44 GiB,3.02 GiB,3.22 GiB,3.03 GiB,3.20 GiB
2026-02-11 10:50:00,3.25 GiB,3.56 GiB,3.04 GiB,3.15 GiB,3.02 GiB,3.15 GiB
2026-02-11 11:00:00,3.24 GiB,3.59 GiB,2.85 GiB,3.18 GiB,3.04 GiB,3.15 GiB
2026-02-11 11:10:00,3.23 GiB,3.62 GiB,2.78 GiB,3.20 GiB,3.06 GiB,3.14 GiB
2026-02-11 11:20:00,3.92 GiB,2.84 GiB,2.85 GiB,3.60 GiB,3.10 GiB,3.82 GiB
2026-02-11 11:30:00,3.93 GiB,2.86 GiB,2.87 GiB,3.42 GiB,3.15 GiB,3.72 GiB
2026-02-11 11:40:00,3.91 GiB,2.88 GiB,2.91 GiB,3.22 GiB,3.17 GiB,3.60 GiB
2026-02-11 11:50:00,3.99 GiB,2.87 GiB,2.92 GiB,3.19 GiB,3.19 GiB,3.42 GiB
2026-02-11 12:00:00,3.91 GiB,2.86 GiB,2.94 GiB,3.22 GiB,3.21 GiB,3.18 GiB
2026-02-11 12:10:00,3.49 GiB,2.86 GiB,2.92 GiB,3.41 GiB,3.39 GiB,3.28 GiB
2026-02-11 12:20:00,3.22 GiB,2.88 GiB,2.95 GiB,3.45 GiB,3.35 GiB,3.31 GiB
2026-02-11 12:30:00,3.14 GiB,3.19 GiB,3.36 GiB,3.18 GiB,3.21 GiB,3.14 GiB
2026-02-11 12:40:00,3.16 GiB,2.82 GiB,3.36 GiB,2.99 GiB,3.24 GiB,3.16 GiB
