"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 03:32:00,52.2%,14.2%,14.4%,23.7%,23.1%,19.2%
2026-02-11 03:36:00,49.6%,11.5%,9.78%,13.5%,17.7%,10.5%
2026-02-11 03:40:00,13.9%,12.5%,11.9%,7.17%,16.1%,9.09%
2026-02-11 03:44:00,77.9%,44.3%,32.6%,39.7%,39.2%,40.5%
2026-02-11 03:48:00,78.3%,30.1%,23.9%,34.5%,24.8%,25.5%
2026-02-11 03:52:00,46.9%,18.3%,13.6%,22.2%,9.90%,15.7%
2026-02-11 03:56:00,53.0%,14.3%,23.0%,37.4%,19.8%,21.7%
2026-02-11 04:00:00,53.1%,19.5%,26.5%,20.1%,13.0%,16.3%
2026-02-11 04:04:00,49.0%,22.8%,20.9%,26.6%,27.1%,46.0%
2026-02-11 04:08:00,33.8%,4.31%,8.07%,6.74%,23.0%,16.4%
2026-02-11 04:12:00,55.3%,34.8%,18.7%,32.9%,31.2%,25.9%
2026-02-11 04:16:00,55.4%,19.3%,17.6%,12.4%,14.7%,16.4%
2026-02-11 04:20:00,38.3%,27.3%,11.2%,24.1%,20.2%,81.7%
2026-02-11 04:24:00,29.9%,25.8%,21.6%,27.1%,25.8%,23.5%
2026-02-11 04:28:00,30.7%,14.5%,14.1%,12.2%,14.4%,17.4%
2026-02-11 04:32:00,38.4%,23.4%,13.1%,7.01%,20.8%,10.3%
2026-02-11 04:36:00,37.3%,15.1%,21.1%,11.5%,20.8%,17.3%
2026-02-11 04:40:00,27.3%,20.0%,16.0%,14.9%,18.2%,16.6%
2026-02-11 04:44:00,45.1%,23.6%,13.9%,18.2%,23.3%,15.7%
2026-02-11 04:48:00,56.1%,9.98%,12.8%,12.9%,14.4%,15.2%
2026-02-11 04:52:00,64.1%,18.6%,15.7%,18.8%,22.0%,28.5%
2026-02-11 04:56:00,50.9%,26.5%,15.4%,30.7%,36.0%,26.5%
2026-02-11 05:00:00,50.1%,18.7%,21.4%,20.9%,19.3%,24.3%
2026-02-11 05:04:00,56.9%,24.7%,37.6%,25.4%,16.0%,23.2%
2026-02-11 05:08:00,72.6%,36.5%,44.4%,34.3%,39.6%,37.7%
2026-02-11 05:12:00,39.0%,31.6%,24.3%,23.3%,18.6%,17.6%
2026-02-11 05:16:00,47.7%,14.3%,15.2%,16.6%,17.3%,16.2%
2026-02-11 05:20:00,72.6%,55.9%,27.5%,32.7%,32.8%,30.6%
2026-02-11 05:24:00,33.4%,9.35%,21.1%,12.1%,14.3%,16.2%
2026-02-11 05:28:00,68.8%,10.8%,9.78%,26.6%,22.5%,21.5%
2026-02-11 05:32:00,57.6%,74.6%,22.3%,30.5%,32.2%,22.6%
2026-02-11 05:36:00,36.1%,32.2%,31.2%,37.3%,30.5%,29.5%
2026-02-11 05:40:00,33.9%,29.1%,20.9%,21.7%,25.5%,25.0%
2026-02-11 05:44:00,55.2%,37.7%,28.1%,44.4%,24.2%,33.2%
2026-02-11 05:48:00,48.1%,19.6%,22.8%,24.6%,28.8%,25.2%
2026-02-11 05:52:00,69.5%,23.7%,26.4%,23.8%,15.3%,16.4%
2026-02-11 05:56:00,52.7%,106%,27.8%,39.9%,23.4%,35.9%
2026-02-11 06:00:00,65.3%,53.2%,36.9%,24.4%,46.8%,26.4%
2026-02-11 06:04:00,55.2%,26.7%,18.4%,21.7%,19.0%,20.4%
2026-02-11 06:08:00,75.3%,39.2%,24.2%,21.4%,21.5%,21.4%
2026-02-11 06:12:00,45.9%,35.3%,22.0%,24.3%,20.8%,18.0%
2026-02-11 06:16:00,30.1%,20.3%,31.2%,16.2%,16.5%,12.0%
2026-02-11 06:20:00,53.9%,30.0%,23.1%,24.7%,34.9%,17.8%
2026-02-11 06:24:00,62.3%,22.7%,21.4%,22.2%,11.3%,21.5%
2026-02-11 06:28:00,50.8%,28.9%,26.6%,36.8%,21.2%,43.6%
2026-02-11 06:32:00,52.7%,20.2%,37.8%,39.6%,36.4%,34.0%
2026-02-11 06:36:00,53.3%,28.6%,51.7%,50.0%,43.2%,46.5%
2026-02-11 06:40:00,40.6%,22.2%,11.9%,16.0%,15.1%,12.9%
2026-02-11 06:44:00,38.5%,16.6%,21.2%,34.7%,23.4%,23.6%
2026-02-11 06:48:00,58.1%,22.6%,17.9%,22.4%,14.7%,17.0%
2026-02-11 06:52:00,33.5%,22.0%,20.8%,13.6%,13.4%,16.4%
2026-02-11 06:56:00,28.9%,20.2%,19.9%,17.7%,19.5%,17.3%
