"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-10 14:46:00,2.32 ms,1.78 ms,2.02 ms,915 µs,2.49 ms,1.58 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:48:00,2.10 ms,3.93 ms,1.73 ms,2.12 ms,2.47 ms,1.83 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:50:00,2.46 ms,2.49 ms,2.08 ms,1.93 ms,1.68 ms,3.59 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:52:00,2.24 ms,983 µs,1.78 ms,1.90 ms,2.24 ms,1.66 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:54:00,2.86 ms,1.85 ms,0 s,1.34 ms,0 s,1.47 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:56:00,2.39 ms,729 µs,2.93 ms,4.03 ms,3.41 ms,1.58 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 14:58:00,1.75 ms,1.68 ms,2.59 ms,2.68 ms,1.75 ms,2.69 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:00:00,2.93 ms,1.59 ms,1.22 ms,1.27 ms,1.32 ms,2.15 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:02:00,2.71 ms,1.88 ms,949 µs,1.03 ms,2.14 ms,2.56 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:04:00,1.98 ms,1.75 ms,1.95 ms,1.86 ms,1.19 ms,1.15 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:06:00,2.61 ms,2.73 ms,1.63 ms,1.86 ms,1.22 ms,2.29 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:08:00,3.75 ms,4.14 ms,1.37 ms,2.71 ms,2.37 ms,2.95 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:10:00,2.12 ms,3.37 ms,1.37 ms,1.27 ms,2.51 ms,3.51 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:12:00,2.78 ms,3.51 ms,4.42 ms,7.51 ms,4.41 ms,2.17 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:14:00,2.31 ms,3.86 ms,4.00 ms,3.95 ms,10.1 ms,2.37 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:16:00,1.54 ms,3.25 ms,3.46 ms,3.80 ms,4.41 ms,2.19 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:18:00,1.81 ms,5.15 ms,1.42 ms,864 µs,695 µs,4.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:20:00,2.15 ms,915 µs,2.07 ms,1.31 ms,780 µs,1.15 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:22:00,1.61 ms,1.46 ms,729 µs,1.31 ms,2.25 ms,847 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:24:00,1.22 ms,831 µs,915 µs,746 µs,1.08 ms,915 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:26:00,1.85 ms,593 µs,1.81 ms,2.03 ms,1.73 ms,864 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:28:00,1.95 ms,1.49 ms,1.56 ms,1.86 ms,2.07 ms,1.90 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:30:00,1.92 ms,3.80 ms,1.05 ms,2.85 ms,3.15 ms,2.08 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:32:00,1.71 ms,1.97 ms,848 µs,882 µs,899 µs,3.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:34:00,2.69 ms,4.10 ms,2.19 ms,881 µs,1.19 ms,2.90 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:36:00,712 µs,4.47 ms,1.07 ms,2.10 ms,1.14 ms,5.19 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:38:00,3.03 ms,4.90 ms,2.46 ms,2.64 ms,2.07 ms,2.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:40:00,2.32 ms,2.07 ms,1.20 ms,3.15 ms,1.41 ms,4.95 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:42:00,864 µs,831 µs,1.78 ms,949 µs,1.81 ms,4.51 ms,0 s,0 s,0 s,0 s,0 s,0 s
