timestamp,container,cgrp_total_mb,rss_mb,cache_mb,nmt_total_mb,heap_comm_mb,gc_mb,threads_mb,metaspace_mb,nmt_other_mb,db_fds
2026-03-17 17:39:55,rskj-miner2,5414,4847,528,5505,5120,237,8,38,385,39
2026-03-17 17:39:55,rskj-node1,3434,3238,170,3357,3072,159,5,38,285,39
2026-03-17 17:39:56,rskj-node2,3528,3326,170,3356,3072,158,5,38,284,39
2026-03-17 17:40:27,rskj-miner1,5497,4837,620,5507,5120,237,8,39,387,39
2026-03-17 17:40:28,rskj-miner2,5428,4854,535,5505,5120,237,8,38,385,39
2026-03-17 17:40:29,rskj-node1,3487,3290,171,3357,3072,159,5,38,285,39
2026-03-17 17:40:30,rskj-node2,3528,3327,171,3358,3072,158,5,38,286,39
2026-03-17 17:41:01,rskj-miner1,5516,4844,632,5507,5120,237,8,39,387,39
2026-03-17 17:41:01,rskj-miner2,5437,4857,540,5506,5120,237,8,38,386,39
2026-03-17 17:41:02,rskj-node1,3488,3291,172,3357,3072,159,5,38,285,39
2026-03-17 17:41:03,rskj-node2,3529,3327,172,3356,3072,158,5,38,284,39
2026-03-17 17:41:34,rskj-miner1,5530,4847,642,5507,5120,237,8,39,387,39
2026-03-17 17:41:35,rskj-miner2,5447,4864,545,5506,5120,237,8,39,386,39
2026-03-17 17:41:35,rskj-node1,3489,3291,174,3357,3072,159,5,38,285,39
2026-03-17 17:41:36,rskj-node2,3531,3327,174,3356,3072,158,5,38,284,39
2026-03-17 17:42:07,rskj-miner1,5541,4850,651,5507,5120,237,8,39,387,39
2026-03-17 17:42:08,rskj-miner2,5469,4871,558,5506,5120,237,8,39,386,39
2026-03-17 17:42:09,rskj-node1,3490,3291,174,3357,3072,159,5,38,285,39
2026-03-17 17:42:11,rskj-node2,3531,3327,175,3372,3072,158,5,38,300,39
2026-03-17 17:42:41,rskj-miner1,5479,4852,588,5507,5120,237,8,39,387,39
2026-03-17 17:42:42,rskj-miner2,5513,4882,589,5506,5120,237,8,39,386,39
2026-03-17 17:42:43,rskj-node1,3490,3291,174,3357,3072,159,5,38,285,39
2026-03-17 17:42:43,rskj-node2,3531,3327,175,3356,3072,158,5,38,284,39
2026-03-17 17:43:14,rskj-miner1,5487,4853,594,5507,5120,237,8,39,387,39
2026-03-17 17:43:15,rskj-miner2,5522,4883,597,5506,5120,237,8,39,386,39
2026-03-17 17:43:16,rskj-node1,3491,3291,175,3357,3072,159,5,38,285,39
2026-03-17 17:43:16,rskj-node2,3532,3327,175,3357,3072,158,5,38,285,39
2026-03-17 17:43:47,rskj-miner1,5497,4853,603,5507,5120,237,8,39,387,39
2026-03-17 17:43:48,rskj-miner2,5538,4887,609,5506,5120,237,8,39,386,39
2026-03-17 17:43:49,rskj-node1,3492,3291,176,3357,3072,159,5,38,285,39
2026-03-17 17:43:49,rskj-node2,3534,3327,176,3356,3072,158,5,38,284,39
2026-03-17 17:44:20,rskj-miner1,5503,4853,610,5507,5120,237,8,39,387,39
2026-03-17 17:44:21,rskj-miner2,5474,4895,540,5506,5120,237,8,39,386,39
2026-03-17 17:44:22,rskj-node1,3494,3290,177,3357,3072,159,5,38,285,39
2026-03-17 17:44:23,rskj-node2,3556,3349,177,3357,3072,158,5,38,285,39
2026-03-17 17:44:53,rskj-miner1,5517,4855,621,5509,5120,237,8,39,389,39
2026-03-17 17:44:54,rskj-miner2,5496,4900,556,5506,5120,237,8,39,386,39
2026-03-17 17:44:56,rskj-node1,3493,3291,177,3373,3072,159,5,38,301,39
2026-03-17 17:44:57,rskj-node2,3557,3349,177,3370,3072,158,5,38,298,39
2026-03-17 17:45:28,rskj-miner1,5537,4863,634,5507,5120,237,8,39,387,39
2026-03-17 17:45:29,rskj-miner2,5516,4905,571,5507,5120,237,8,39,387,39
2026-03-17 17:45:30,rskj-node1,3494,3291,178,3357,3072,159,5,38,285,39
2026-03-17 17:45:31,rskj-node2,3557,3349,178,3357,3072,158,5,38,285,39
2026-03-17 17:46:02,rskj-miner1,5548,4864,642,5507,5120,237,8,39,387,39
2026-03-17 17:46:02,rskj-miner2,5528,4906,579,5507,5120,237,8,39,387,39
2026-03-17 17:46:03,rskj-node1,3495,3291,178,3357,3072,159,5,38,285,39
2026-03-17 17:46:04,rskj-node2,3558,3349,179,3357,3072,158,5,38,285,39
2026-03-17 17:46:35,rskj-miner1,5555,4864,650,5507,5120,237,8,39,387,39
2026-03-17 17:46:36,rskj-miner2,5536,4909,586,5506,5120,237,8,39,386,39
2026-03-17 17:46:36,rskj-node1,3495,3291,179,3357,3072,159,5,38,285,39
2026-03-17 17:46:37,rskj-node2,3560,3349,179,3357,3072,158,5,38,285,39
2026-03-17 17:47:08,rskj-miner1,5567,4866,660,5508,5120,237,8,39,388,40
2026-03-17 17:47:09,rskj-miner2,5531,4898,592,5507,5120,237,8,39,387,40
2026-03-17 17:47:10,rskj-node1,3496,3291,180,3358,3072,159,5,38,286,40
2026-03-17 17:47:10,rskj-node2,3560,3349,180,3357,3072,158,5,38,285,40
2026-03-17 17:47:41,rskj-miner1,5586,4870,673,5507,5120,237,8,39,387,40
2026-03-17 17:47:42,rskj-miner2,5543,4901,600,5506,5120,237,8,39,386,40
2026-03-17 17:47:43,rskj-node1,3498,3291,181,3357,3072,159,5,38,285,40
2026-03-17 17:47:43,rskj-node2,3561,3349,182,3357,3072,158,5,38,285,40
2026-03-17 17:48:15,rskj-miner1,5609,4875,693,5507,5120,237,8,39,387,40
2026-03-17 17:48:16,rskj-miner2,5568,4914,613,5506,5120,237,8,39,386,40
2026-03-17 17:48:17,rskj-node1,3501,3293,182,3357,3072,159,5,38,285,40
2026-03-17 17:48:18,rskj-node2,3564,3350,182,3357,3072,158,5,38,285,40
2026-03-17 17:48:48,rskj-miner1,5540,4876,624,5507,5120,237,8,39,387,40
