"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node2"
2026-02-11 07:42:00,3.76 GiB,3.86 GiB,3.94 GiB,3.82 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:43:00,3.76 GiB,3.87 GiB,3.94 GiB,3.82 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:44:00,3.76 GiB,3.87 GiB,3.94 GiB,3.82 GiB,3.86 GiB,3.78 GiB
2026-02-11 07:45:00,3.76 GiB,3.88 GiB,3.94 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:46:00,3.76 GiB,3.79 GiB,3.94 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:47:00,3.76 GiB,3.80 GiB,3.83 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:48:00,3.76 GiB,3.81 GiB,3.83 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:49:00,3.76 GiB,3.81 GiB,3.83 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:50:00,3.76 GiB,3.82 GiB,3.83 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:51:00,3.76 GiB,3.83 GiB,3.83 GiB,3.82 GiB,3.87 GiB,3.78 GiB
2026-02-11 07:52:00,3.83 GiB,3.93 GiB,3.83 GiB,3.86 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:53:00,3.83 GiB,3.93 GiB,3.83 GiB,3.86 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:54:00,3.83 GiB,3.94 GiB,3.83 GiB,3.86 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:55:00,3.83 GiB,3.95 GiB,3.83 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:56:00,3.83 GiB,3.96 GiB,3.83 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:57:00,3.83 GiB,3.96 GiB,3.83 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:58:00,3.83 GiB,3.97 GiB,3.83 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 07:59:00,3.83 GiB,3.88 GiB,3.83 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 08:00:00,3.83 GiB,3.89 GiB,3.83 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 08:01:00,3.83 GiB,3.89 GiB,3.84 GiB,3.87 GiB,3.89 GiB,3.83 GiB
2026-02-11 08:02:00,3.83 GiB,3.90 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:03:00,3.83 GiB,3.91 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:04:00,3.83 GiB,3.92 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:05:00,3.83 GiB,3.93 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:06:00,3.83 GiB,3.93 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:07:00,3.83 GiB,3.94 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:08:00,3.83 GiB,3.95 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:09:00,3.83 GiB,3.96 GiB,3.84 GiB,3.87 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:10:00,3.83 GiB,3.97 GiB,3.84 GiB,3.88 GiB,3.90 GiB,3.83 GiB
2026-02-11 08:11:00,3.89 GiB,3.93 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
2026-02-11 08:12:00,3.89 GiB,3.93 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
2026-02-11 08:13:00,3.89 GiB,3.93 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
2026-02-11 08:14:00,3.89 GiB,3.84 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
