"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)"
2026-02-09 20:56:00,712 µs,2.42 ms,1.12 ms,1.90 ms,0 s,0 s,0 s,0 s
2026-02-09 20:58:00,1.39 ms,1.88 ms,2.68 ms,1.78 ms,0 s,0 s,0 s,0 s
2026-02-09 21:00:00,746 µs,1.39 ms,1.44 ms,2.85 ms,0 s,0 s,0 s,0 s
2026-02-09 21:02:00,237 µs,593 µs,1.54 ms,1.59 ms,0 s,0 s,0 s,0 s
2026-02-09 21:04:00,1.24 ms,627 µs,2.41 ms,0 s,0 s,0 s,0 s,0 s
2026-02-09 21:06:00,1.39 ms,1.29 ms,407 µs,1.19 ms,0 s,0 s,0 s,0 s
2026-02-09 21:08:00,746 µs,864 µs,525 µs,424 µs,0 s,0 s,0 s,0 s
2026-02-09 21:10:00,1.34 ms,1.51 ms,576 µs,830 µs,0 s,0 s,0 s,0 s
2026-02-09 21:12:00,1.80 ms,1.17 ms,983 µs,1.46 ms,0 s,0 s,0 s,0 s
2026-02-09 21:14:00,1.76 ms,847 µs,525 µs,458 µs,0 s,0 s,0 s,0 s
2026-02-09 21:16:00,1.80 ms,593 µs,458 µs,593 µs,0 s,0 s,0 s,0 s
2026-02-09 21:18:00,1.10 ms,712 µs,1.24 ms,1.34 ms,0 s,0 s,0 s,0 s
2026-02-09 21:20:00,2.54 ms,1.19 ms,2.98 ms,2.42 ms,0 s,0 s,0 s,0 s
2026-02-09 21:22:00,1.24 ms,898 µs,1.58 ms,1.59 ms,0 s,0 s,0 s,0 s
2026-02-09 21:24:00,1.07 ms,1.03 ms,1.25 ms,2.05 ms,0 s,0 s,0 s,0 s
2026-02-09 21:26:00,1.37 ms,1.08 ms,1.88 ms,2.27 ms,0 s,0 s,0 s,0 s
2026-02-09 21:28:00,2.05 ms,983 µs,1.42 ms,1.22 ms,0 s,0 s,0 s,0 s
2026-02-09 21:30:00,932 µs,678 µs,1.10 ms,1.46 ms,0 s,0 s,0 s,0 s
2026-02-09 21:32:00,1.86 ms,678 µs,661 µs,831 µs,0 s,0 s,0 s,0 s
2026-02-09 21:34:00,1.58 ms,1.31 ms,1.19 ms,525 µs,0 s,0 s,0 s,0 s
2026-02-09 21:36:00,780 µs,1.86 ms,1.10 ms,1.12 ms,0 s,0 s,0 s,0 s
2026-02-09 21:38:00,2.29 ms,1.97 ms,746 µs,475 µs,0 s,0 s,0 s,0 s
2026-02-09 21:40:00,1.49 ms,1.71 ms,492 µs,1.14 ms,0 s,0 s,0 s,0 s
2026-02-09 21:42:00,763 µs,559 µs,0 s,2.29 ms,0 s,0 s,0 s,0 s
2026-02-09 21:44:00,2.29 ms,644 µs,1.15 ms,1.05 ms,0 s,0 s,0 s,0 s
2026-02-09 21:46:00,1.44 ms,831 µs,1.14 ms,2.32 ms,0 s,0 s,0 s,0 s
2026-02-09 21:48:00,2.00 ms,610 µs,1.29 ms,0 s,0 s,0 s,0 s,0 s
2026-02-09 21:50:00,695 µs,1.19 ms,1.41 ms,1.17 ms,0 s,0 s,0 s,0 s
2026-02-09 21:52:00,2.17 ms,1.17 ms,2.05 ms,1.80 ms,0 s,0 s,0 s,0 s
2026-02-09 21:54:00,2.00 ms,1.49 ms,695 µs,3.51 ms,0 s,0 s,0 s,0 s
2026-02-09 21:56:00,830 µs,746 µs,576 µs,492 µs,0 s,0 s,0 s,0 s
2026-02-09 21:58:00,1.95 ms,1.44 ms,1000 µs,847 µs,0 s,0 s,0 s,0 s
2026-02-09 22:00:00,1.51 ms,610 µs,525 µs,1.12 ms,0 s,0 s,0 s,0 s
2026-02-09 22:02:00,5.30 ms,2.95 ms,2.17 ms,1.68 ms,0 s,0 s,0 s,0 s
2026-02-09 22:04:00,864 µs,2.05 ms,1.20 ms,2.56 ms,0 s,0 s,0 s,0 s
2026-02-09 22:06:00,542 µs,2.00 ms,2.00 ms,1.31 ms,0 s,0 s,0 s,0 s
2026-02-09 22:08:00,949 µs,2.07 ms,1.71 ms,1.78 ms,0 s,0 s,0 s,0 s
2026-02-09 22:10:00,966 µs,2.37 ms,1.12 ms,1.47 ms,0 s,0 s,0 s,0 s
2026-02-09 22:12:00,1.03 ms,4.93 ms,1.27 ms,1.14 ms,0 s,0 s,0 s,0 s
2026-02-09 22:14:00,1.07 ms,1.73 ms,1000 µs,830 µs,0 s,0 s,0 s,0 s
2026-02-09 22:16:00,1.54 ms,678 µs,2.14 ms,1.73 ms,0 s,0 s,0 s,0 s
2026-02-09 22:18:00,1.07 ms,1.08 ms,746 µs,1.03 ms,0 s,0 s,0 s,0 s
2026-02-09 22:20:00,2.05 ms,1.02 ms,559 µs,424 µs,0 s,0 s,0 s,0 s
2026-02-09 22:22:00,1.56 ms,644 µs,729 µs,441 µs,0 s,0 s,0 s,0 s
2026-02-09 22:24:00,1.56 ms,1.25 ms,1.36 ms,949 µs,0 s,0 s,0 s,0 s
2026-02-09 22:26:00,1.27 ms,576 µs,1.24 ms,610 µs,0 s,0 s,0 s,0 s
2026-02-09 22:28:00,8.44 ms,1.24 ms,2.93 ms,1.73 ms,0 s,0 s,0 s,0 s
2026-02-09 22:30:00,1.19 ms,729 µs,1.19 ms,2.61 ms,0 s,0 s,0 s,0 s
2026-02-09 22:32:00,1.17 ms,593 µs,1.47 ms,2.59 ms,0 s,0 s,0 s,0 s
2026-02-09 22:34:00,1.08 ms,814 µs,1.10 ms,1.25 ms,0 s,0 s,0 s,0 s
2026-02-09 22:36:00,1.08 ms,1.17 ms,3.02 ms,3.34 ms,0 s,0 s,0 s,0 s
2026-02-09 22:38:00,1.46 ms,1.53 ms,1.92 ms,1.72 ms,0 s,0 s,0 s,0 s
2026-02-09 22:40:00,1.37 ms,576 µs,3.20 ms,1.39 ms,0 s,0 s,0 s,0 s
2026-02-09 22:42:00,1.59 ms,746 µs,864 µs,2.22 ms,0 s,0 s,0 s,0 s
2026-02-09 22:44:00,1.59 ms,610 µs,1.37 ms,1.12 ms,0 s,0 s,0 s,0 s
2026-02-09 22:46:00,1.27 ms,593 µs,644 µs,678 µs,0 s,0 s,0 s,0 s
2026-02-09 22:48:00,1.71 ms,1.63 ms,695 µs,881 µs,0 s,0 s,0 s,0 s
2026-02-09 22:50:00,4.25 ms,1.03 ms,1.47 ms,1.63 ms,0 s,0 s,0 s,0 s
2026-02-09 22:52:00,390 µs,797 µs,0 s,1.32 ms,0 s,0 s,0 s,0 s
2026-02-09 22:54:00,1.25 ms,949 µs,2.14 ms,1.41 ms,0 s,0 s,0 s,0 s
2026-02-09 22:56:00,2.05 ms,1.02 ms,1.46 ms,1.42 ms,0 s,0 s,0 s,0 s
2026-02-09 22:58:00,1.17 ms,1.03 ms,949 µs,1.41 ms,0 s,0 s,0 s,0 s
2026-02-09 23:00:00,1.80 ms,780 µs,1.46 ms,1.63 ms,0 s,0 s,0 s,0 s
2026-02-09 23:02:00,1.39 ms,1.24 ms,2.52 ms,1.25 ms,0 s,0 s,0 s,0 s
2026-02-09 23:04:00,898 µs,983 µs,450 µs,2.37 ms,0 s,0 s,0 s,0 s
2026-02-09 23:06:00,2.32 ms,1.02 ms,441 µs,0 s,0 s,0 s,0 s,0 s
2026-02-09 23:08:00,1.14 ms,576 µs,390 µs,1.22 ms,0 s,0 s,0 s,0 s
2026-02-09 23:10:00,966 µs,1.25 ms,610 µs,508 µs,0 s,0 s,0 s,0 s
2026-02-09 23:12:00,1.17 ms,1.08 ms,814 µs,0 s,0 s,0 s,0 s,0 s
2026-02-09 23:14:00,1.81 ms,1.46 ms,1.76 ms,2.00 ms,0 s,0 s,0 s,0 s
2026-02-09 23:16:00,746 µs,1.12 ms,898 µs,1.25 ms,0 s,0 s,0 s,0 s
2026-02-09 23:18:00,1.44 ms,797 µs,1.53 ms,1.47 ms,0 s,0 s,0 s,0 s
2026-02-09 23:20:00,1.08 ms,610 µs,2.08 ms,1.05 ms,0 s,0 s,0 s,0 s
2026-02-09 23:22:00,1.47 ms,1.07 ms,1.41 ms,2.83 ms,0 s,0 s,0 s,0 s
2026-02-09 23:24:00,559 µs,712 µs,983 µs,0 s,0 s,0 s,0 s,0 s
2026-02-09 23:26:00,830 µs,559 µs,1.03 ms,1.39 ms,0 s,0 s,0 s,0 s
2026-02-09 23:28:00,1.10 ms,932 µs,1.24 ms,1.97 ms,0 s,0 s,0 s,0 s
2026-02-09 23:30:00,1.22 ms,729 µs,1.07 ms,1.51 ms,0 s,0 s,0 s,0 s
2026-02-09 23:32:00,1.42 ms,1.00 ms,441 µs,441 µs,0 s,0 s,0 s,0 s
2026-02-09 23:34:00,1.51 ms,1.35 ms,406 µs,542 µs,0 s,0 s,0 s,0 s
2026-02-09 23:36:00,1.63 ms,763 µs,1.27 ms,0 s,0 s,0 s,0 s,0 s
2026-02-09 23:38:00,1.51 ms,881 µs,983 µs,1.59 ms,0 s,0 s,0 s,0 s
2026-02-09 23:40:00,5.54 ms,949 µs,1.88 ms,712 µs,0 s,0 s,0 s,0 s
2026-02-09 23:42:00,1.12 ms,661 µs,1.08 ms,1.53 ms,0 s,0 s,0 s,0 s
2026-02-09 23:44:00,1.25 ms,1.71 ms,1.90 ms,1.03 ms,0 s,0 s,0 s,0 s
2026-02-09 23:46:00,932 µs,1.44 ms,2.05 ms,1.68 ms,0 s,0 s,0 s,0 s
2026-02-09 23:48:00,780 µs,729 µs,3.17 ms,1.05 ms,0 s,0 s,0 s,0 s
2026-02-09 23:50:00,814 µs,661 µs,1.27 ms,2.29 ms,0 s,0 s,0 s,0 s
2026-02-09 23:52:00,424 µs,1.58 ms,1.61 ms,1.07 ms,0 s,0 s,0 s,0 s
2026-02-09 23:54:00,1.29 ms,1.32 ms,1.03 ms,1.80 ms,0 s,0 s,0 s,0 s
2026-02-09 23:56:00,1.75 ms,814 µs,644 µs,678 µs,0 s,0 s,0 s,0 s
2026-02-09 23:58:00,1.34 ms,1.05 ms,1.73 ms,1.31 ms,0 s,0 s,0 s,0 s
2026-02-10 00:00:00,1.56 ms,661 µs,1.03 ms,627 µs,0 s,0 s,0 s,0 s
2026-02-10 00:02:00,1.47 ms,2.17 ms,712 µs,1.07 ms,0 s,0 s,0 s,0 s
2026-02-10 00:04:00,5.58 ms,1.14 ms,1.88 ms,1.64 ms,0 s,0 s,0 s,0 s
2026-02-10 00:06:00,1.10 ms,1.31 ms,1.20 ms,1.49 ms,0 s,0 s,0 s,0 s
2026-02-10 00:08:00,1.25 ms,1.83 ms,1.75 ms,0 s,0 s,0 s,0 s,0 s
2026-02-10 00:10:00,1.53 ms,898 µs,2.81 ms,3.17 ms,0 s,0 s,0 s,0 s
2026-02-10 00:12:00,1.36 ms,1.69 ms,1.03 ms,1.86 ms,0 s,0 s,0 s,0 s
2026-02-10 00:14:00,1.03 ms,610 µs,1.44 ms,1.17 ms,0 s,0 s,0 s,0 s
2026-02-10 00:16:00,1.47 ms,1.86 ms,4.02 ms,1.22 ms,0 s,0 s,0 s,0 s
2026-02-10 00:18:00,1.36 ms,830 µs,644 µs,1.37 ms,0 s,0 s,0 s,0 s
2026-02-10 00:20:00,1.56 ms,4.02 ms,492 µs,492 µs,0 s,0 s,0 s,0 s
2026-02-10 00:22:00,1.41 ms,3.20 ms,1.69 ms,593 µs,0 s,0 s,0 s,0 s
2026-02-10 00:24:00,1.22 ms,2.49 ms,390 µs,780 µs,0 s,0 s,0 s,0 s
2026-02-10 00:26:00,1.39 ms,2.86 ms,780 µs,0 s,0 s,0 s,0 s,0 s
2026-02-10 00:28:00,1.17 ms,2.90 ms,695 µs,576 µs,0 s,0 s,0 s,0 s
2026-02-10 00:30:00,4.90 ms,5.42 ms,2.07 ms,2.05 ms,0 s,0 s,0 s,0 s
2026-02-10 00:32:00,966 µs,9.42 ms,1.39 ms,1.78 ms,0 s,0 s,0 s,0 s
2026-02-10 00:34:00,1.10 ms,576 µs,2.25 ms,1.88 ms,0 s,0 s,0 s,0 s
2026-02-10 00:36:00,949 µs,542 µs,1.19 ms,898 µs,0 s,0 s,0 s,0 s
2026-02-10 00:38:00,1.02 ms,492 µs,2.08 ms,1.85 ms,0 s,0 s,0 s,0 s
2026-02-10 00:40:00,1.29 ms,1.25 ms,1.73 ms,1.08 ms,0 s,0 s,0 s,0 s
