"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 20:36:00,32.1 KiB,2.46 KiB,2.36 KiB,2.45 KiB,-36.8 KiB,-10.5 KiB,-10.4 KiB,-10.4 KiB
2026-02-09 20:38:00,35.5 KiB,2.22 KiB,2.19 KiB,2.19 KiB,-39.6 KiB,-10.3 KiB,-10.2 KiB,-10.2 KiB
2026-02-09 20:40:00,32.0 KiB,3.00 KiB,3.00 KiB,2.99 KiB,-37.0 KiB,-11.0 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 20:42:00,31.9 KiB,2.74 KiB,2.71 KiB,2.72 KiB,-36.7 KiB,-10.7 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 20:44:00,36.1 KiB,3.11 KiB,3.09 KiB,3.08 KiB,-40.6 KiB,-11.0 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 20:46:00,37.1 KiB,3.52 KiB,3.49 KiB,3.49 KiB,-41.7 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 20:48:00,37.1 KiB,3.56 KiB,3.52 KiB,3.53 KiB,-41.8 KiB,-11.4 KiB,-11.5 KiB,-11.2 KiB
2026-02-09 20:50:00,39.6 KiB,3.03 KiB,2.99 KiB,3.00 KiB,-43.6 KiB,-10.9 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 20:52:00,37.2 KiB,2.79 KiB,2.75 KiB,2.75 KiB,-41.5 KiB,-10.7 KiB,-10.8 KiB,-10.6 KiB
2026-02-09 20:54:00,39.3 KiB,3.15 KiB,3.12 KiB,3.13 KiB,-43.9 KiB,-11.5 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 20:56:00,36.0 KiB,3.11 KiB,3.07 KiB,3.08 KiB,-40.9 KiB,-11.4 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 20:58:00,35.3 KiB,3.48 KiB,3.46 KiB,3.44 KiB,-40.5 KiB,-11.8 KiB,-11.9 KiB,-11.6 KiB
2026-02-09 21:00:00,34.9 KiB,2.56 KiB,2.56 KiB,2.53 KiB,-39.6 KiB,-11.0 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 21:02:00,34.4 KiB,2.18 KiB,2.17 KiB,2.16 KiB,-38.9 KiB,-10.6 KiB,-10.6 KiB,-10.6 KiB
2026-02-09 21:04:00,32.3 KiB,2.51 KiB,2.49 KiB,2.49 KiB,-37.3 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 21:06:00,32.3 KiB,2.65 KiB,2.64 KiB,2.63 KiB,-37.4 KiB,-11.0 KiB,-11.1 KiB,-11.0 KiB
2026-02-09 21:08:00,35.7 KiB,2.32 KiB,2.32 KiB,2.33 KiB,-40.1 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 21:10:00,33.6 KiB,2.97 KiB,2.97 KiB,2.97 KiB,-38.5 KiB,-11.0 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 21:12:00,33.5 KiB,2.59 KiB,2.60 KiB,2.58 KiB,-38.1 KiB,-10.6 KiB,-10.6 KiB,-10.5 KiB
2026-02-09 21:14:00,36.7 KiB,2.80 KiB,2.79 KiB,2.78 KiB,-41.0 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 21:16:00,36.8 KiB,3.12 KiB,3.12 KiB,3.11 KiB,-41.4 KiB,-11.1 KiB,-11.1 KiB,-10.9 KiB
2026-02-09 21:18:00,38.4 KiB,3.08 KiB,3.09 KiB,3.07 KiB,-42.6 KiB,-11.0 KiB,-11.0 KiB,-11.0 KiB
2026-02-09 21:20:00,33.0 KiB,3.54 KiB,3.56 KiB,3.54 KiB,-38.3 KiB,-11.5 KiB,-11.4 KiB,-11.4 KiB
2026-02-09 21:22:00,32.8 KiB,2.72 KiB,2.73 KiB,2.71 KiB,-37.6 KiB,-10.8 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 21:24:00,39.4 KiB,2.77 KiB,2.77 KiB,2.76 KiB,-43.3 KiB,-10.7 KiB,-10.7 KiB,-10.7 KiB
2026-02-09 21:26:00,37.6 KiB,2.67 KiB,2.64 KiB,2.64 KiB,-41.8 KiB,-10.6 KiB,-10.7 KiB,-10.5 KiB
2026-02-09 21:28:00,37.9 KiB,3.16 KiB,3.14 KiB,3.14 KiB,-42.3 KiB,-11.1 KiB,-11.1 KiB,-10.9 KiB
2026-02-09 21:30:00,36.5 KiB,2.94 KiB,2.93 KiB,2.93 KiB,-40.9 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 21:32:00,36.5 KiB,3.01 KiB,3.01 KiB,2.98 KiB,-41.0 KiB,-11.0 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 21:34:00,36.4 KiB,2.49 KiB,2.48 KiB,2.48 KiB,-40.5 KiB,-10.5 KiB,-10.5 KiB,-10.4 KiB
2026-02-09 21:36:00,30.9 KiB,1.87 KiB,1.87 KiB,1.86 KiB,-35.4 KiB,-9.93 KiB,-9.94 KiB,-9.84 KiB
2026-02-09 21:38:00,31.0 KiB,2.16 KiB,2.17 KiB,2.14 KiB,-35.6 KiB,-10.2 KiB,-10.2 KiB,-10.0 KiB
2026-02-09 21:40:00,34.3 KiB,2.96 KiB,2.96 KiB,2.96 KiB,-39.4 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 21:42:00,32.8 KiB,2.39 KiB,2.39 KiB,2.40 KiB,-37.8 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 21:44:00,17.0 KiB,1.79 KiB,1.80 KiB,1.77 KiB,-23.9 KiB,-10.3 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 21:46:00,13.8 KiB,2.33 KiB,2.31 KiB,2.30 KiB,-21.6 KiB,-10.7 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 21:48:00,29.7 KiB,3.02 KiB,2.99 KiB,3.00 KiB,-35.8 KiB,-11.2 KiB,-11.4 KiB,-11.1 KiB
2026-02-09 21:50:00,35.6 KiB,2.87 KiB,2.86 KiB,2.85 KiB,-40.2 KiB,-10.8 KiB,-10.8 KiB,-10.6 KiB
2026-02-09 21:52:00,35.2 KiB,3.09 KiB,3.10 KiB,3.10 KiB,-40.0 KiB,-11.1 KiB,-11.1 KiB,-10.9 KiB
2026-02-09 21:54:00,35.3 KiB,3.25 KiB,3.27 KiB,3.27 KiB,-40.4 KiB,-11.2 KiB,-11.2 KiB,-11.0 KiB
2026-02-09 21:56:00,33.9 KiB,3.00 KiB,3.03 KiB,3.02 KiB,-38.9 KiB,-11.0 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 21:58:00,33.8 KiB,2.87 KiB,2.87 KiB,2.87 KiB,-38.6 KiB,-10.9 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 22:00:00,35.1 KiB,2.29 KiB,2.30 KiB,2.29 KiB,-39.3 KiB,-10.4 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 22:02:00,37.2 KiB,3.05 KiB,3.07 KiB,3.05 KiB,-41.7 KiB,-11.0 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 22:04:00,37.3 KiB,3.10 KiB,3.12 KiB,3.09 KiB,-41.7 KiB,-11.1 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 22:06:00,39.4 KiB,2.35 KiB,2.34 KiB,2.34 KiB,-43.0 KiB,-10.4 KiB,-10.4 KiB,-10.3 KiB
