"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner2","rskj-miner4","rskj-miner4","rskj-miner1","rskj-node1"
2026-02-10 06:04:00,2.98 GiB,,3.46 GiB,,3.11 GiB,,3.31 GiB,
2026-02-10 06:08:00,2.99 GiB,,3.47 GiB,,3.12 GiB,,3.34 GiB,
2026-02-10 06:12:00,3.00 GiB,,3.48 GiB,,3.13 GiB,,3.27 GiB,
2026-02-10 06:16:00,3.03 GiB,,3.49 GiB,,3.16 GiB,,3.33 GiB,
2026-02-10 06:20:00,3.04 GiB,,3.49 GiB,,3.17 GiB,,3.36 GiB,
2026-02-10 06:24:00,3.04 GiB,,3.50 GiB,,3.18 GiB,,3.30 GiB,
2026-02-10 06:28:00,3.05 GiB,,3.51 GiB,,3.19 GiB,,3.33 GiB,
2026-02-10 06:32:00,3.06 GiB,,3.51 GiB,,3.20 GiB,,3.37 GiB,
2026-02-10 06:36:00,3.06 GiB,,3.52 GiB,,3.20 GiB,,3.41 GiB,
2026-02-10 06:40:00,3.08 GiB,,3.44 GiB,,3.13 GiB,,3.37 GiB,
2026-02-10 06:44:00,3.08 GiB,,3.45 GiB,,3.14 GiB,,3.41 GiB,
2026-02-10 06:48:00,3.09 GiB,,3.46 GiB,,3.15 GiB,,3.44 GiB,
2026-02-10 06:52:00,3.10 GiB,,3.47 GiB,,3.16 GiB,,3.37 GiB,
2026-02-10 06:56:00,3.11 GiB,,3.47 GiB,,3.17 GiB,,3.41 GiB,
2026-02-10 07:00:00,3.11 GiB,,3.48 GiB,,3.18 GiB,,3.44 GiB,
2026-02-10 07:04:00,3.14 GiB,,3.49 GiB,,3.23 GiB,,3.49 GiB,
2026-02-10 07:08:00,3.15 GiB,,3.50 GiB,,3.24 GiB,,3.43 GiB,
2026-02-10 07:12:00,3.15 GiB,,3.50 GiB,,3.25 GiB,,3.45 GiB,
2026-02-10 07:16:00,3.16 GiB,,3.51 GiB,,3.26 GiB,,3.49 GiB,
2026-02-10 07:20:00,3.18 GiB,,3.52 GiB,,3.27 GiB,,3.53 GiB,
2026-02-10 07:24:00,3.18 GiB,,3.53 GiB,,3.28 GiB,,3.46 GiB,
2026-02-10 07:28:00,3.19 GiB,,3.53 GiB,,3.30 GiB,,3.52 GiB,
2026-02-10 07:32:00,3.20 GiB,,3.54 GiB,,3.31 GiB,,3.56 GiB,
2026-02-10 07:36:00,3.21 GiB,,3.55 GiB,,3.32 GiB,,3.49 GiB,
2026-02-10 07:40:00,3.21 GiB,,3.56 GiB,,3.33 GiB,,3.53 GiB,
2026-02-10 07:44:00,3.23 GiB,,3.57 GiB,,3.34 GiB,,3.57 GiB,
2026-02-10 07:48:00,3.23 GiB,,3.58 GiB,,3.39 GiB,,3.60 GiB,
2026-02-10 07:52:00,3.25 GiB,,3.58 GiB,,3.40 GiB,,3.56 GiB,
2026-02-10 07:56:00,3.26 GiB,,3.59 GiB,,3.41 GiB,,3.60 GiB,
2026-02-10 08:00:00,3.27 GiB,,3.60 GiB,,3.42 GiB,,3.63 GiB,
2026-02-10 08:04:00,3.28 GiB,,3.61 GiB,,3.43 GiB,,3.57 GiB,
2026-02-10 08:08:00,3.29 GiB,,3.69 GiB,,3.44 GiB,,3.61 GiB,
2026-02-10 08:12:00,3.31 GiB,,3.69 GiB,,3.44 GiB,,3.66 GiB,
2026-02-10 08:16:00,3.31 GiB,,3.74 GiB,,3.45 GiB,,3.70 GiB,
2026-02-10 08:20:00,3.32 GiB,,3.74 GiB,,3.46 GiB,,3.64 GiB,
2026-02-10 08:24:00,3.33 GiB,,3.75 GiB,,3.47 GiB,,3.68 GiB,
2026-02-10 08:28:00,3.34 GiB,,3.76 GiB,,3.49 GiB,,3.71 GiB,
2026-02-10 08:32:00,3.35 GiB,,3.77 GiB,,3.49 GiB,,3.65 GiB,
2026-02-10 08:36:00,3.37 GiB,,3.75 GiB,,3.46 GiB,,3.56 GiB,
2026-02-10 08:40:00,3.37 GiB,,3.76 GiB,,3.47 GiB,,3.59 GiB,
2026-02-10 08:44:00,3.38 GiB,,3.76 GiB,,3.47 GiB,,3.61 GiB,
2026-02-10 08:48:00,3.38 GiB,,3.77 GiB,,3.49 GiB,,3.55 GiB,
2026-02-10 08:52:00,3.40 GiB,,3.78 GiB,,3.50 GiB,,3.58 GiB,
2026-02-10 08:56:00,3.40 GiB,,3.79 GiB,,3.50 GiB,,3.62 GiB,
2026-02-10 09:00:00,3.41 GiB,,3.79 GiB,,3.55 GiB,,3.58 GiB,
2026-02-10 09:04:00,3.42 GiB,,3.80 GiB,,3.56 GiB,,3.61 GiB,
2026-02-10 09:08:00,3.40 GiB,,3.82 GiB,,3.51 GiB,,3.59 GiB,
2026-02-10 09:12:00,3.41 GiB,,3.82 GiB,,3.52 GiB,,3.62 GiB,
2026-02-10 09:16:00,3.41 GiB,,3.83 GiB,,3.53 GiB,,3.56 GiB,
2026-02-10 09:20:00,3.40 GiB,,3.84 GiB,,3.50 GiB,,3.59 GiB,
2026-02-10 09:24:00,3.40 GiB,,3.85 GiB,,3.50 GiB,,3.63 GiB,
2026-02-10 09:28:00,3.41 GiB,,3.86 GiB,,3.51 GiB,,3.66 GiB,
2026-02-10 09:32:00,3.37 GiB,,3.87 GiB,,3.53 GiB,,3.60 GiB,
2026-02-10 09:36:00,3.39 GiB,,3.87 GiB,,3.54 GiB,,3.63 GiB,
2026-02-10 09:40:00,3.39 GiB,,3.88 GiB,,3.54 GiB,,3.66 GiB,
2026-02-10 09:44:00,3.43 GiB,,3.81 GiB,,3.59 GiB,,3.71 GiB,
2026-02-10 09:48:00,3.43 GiB,,3.82 GiB,,3.60 GiB,,3.64 GiB,
2026-02-10 09:52:00,3.44 GiB,,3.78 GiB,,3.51 GiB,,3.68 GiB,
2026-02-10 09:56:00,3.44 GiB,,3.81 GiB,,3.53 GiB,,3.71 GiB,
2026-02-10 10:00:00,3.46 GiB,,3.82 GiB,,3.54 GiB,,3.75 GiB,
2026-02-10 10:04:00,3.47 GiB,,3.83 GiB,,3.55 GiB,,3.69 GiB,
2026-02-10 10:08:00,3.54 GiB,,3.84 GiB,,3.61 GiB,,3.74 GiB,
2026-02-10 10:12:00,3.55 GiB,,3.85 GiB,,3.62 GiB,,3.76 GiB,
2026-02-10 10:16:00,3.55 GiB,,3.86 GiB,,3.63 GiB,,3.71 GiB,
2026-02-10 10:20:00,3.57 GiB,,3.86 GiB,,3.64 GiB,,3.74 GiB,
2026-02-10 10:24:00,3.57 GiB,,3.87 GiB,,3.65 GiB,,3.77 GiB,
2026-02-10 10:28:00,3.58 GiB,,3.88 GiB,,3.66 GiB,,3.81 GiB,
2026-02-10 10:32:00,3.60 GiB,,3.89 GiB,,3.69 GiB,,3.77 GiB,
2026-02-10 10:36:00,3.60 GiB,,3.89 GiB,,3.70 GiB,,3.81 GiB,
2026-02-10 10:40:00,3.61 GiB,,3.90 GiB,,3.70 GiB,,3.84 GiB,
2026-02-10 10:44:00,3.62 GiB,,3.91 GiB,,3.72 GiB,,3.78 GiB,
2026-02-10 10:48:00,3.63 GiB,,3.92 GiB,,3.73 GiB,,3.82 GiB,
2026-02-10 10:52:00,3.62 GiB,,3.93 GiB,,3.77 GiB,,3.89 GiB,
2026-02-10 10:56:00,3.62 GiB,,3.94 GiB,,3.78 GiB,,3.82 GiB,
2026-02-10 11:00:00,3.63 GiB,,3.94 GiB,,3.79 GiB,,3.86 GiB,
2026-02-10 11:04:00,3.64 GiB,,3.95 GiB,,3.80 GiB,,3.88 GiB,
2026-02-10 11:08:00,3.65 GiB,,3.96 GiB,,3.81 GiB,,3.92 GiB,
2026-02-10 11:12:00,3.65 GiB,,3.96 GiB,,3.81 GiB,,3.85 GiB,
2026-02-10 11:16:00,3.66 GiB,,3.97 GiB,,3.82 GiB,,3.89 GiB,
2026-02-10 11:20:00,3.71 GiB,,3.98 GiB,,3.86 GiB,,3.94 GiB,
2026-02-10 11:24:00,3.72 GiB,,3.99 GiB,,3.86 GiB,,3.98 GiB,
2026-02-10 11:28:00,3.73 GiB,,4.00 GiB,,3.87 GiB,,3.92 GiB,
2026-02-10 11:32:00,3.74 GiB,,4.00 GiB,,3.89 GiB,,3.95 GiB,
2026-02-10 11:36:00,3.75 GiB,,3.37 GiB,,3.89 GiB,,3.99 GiB,
2026-02-10 11:40:00,3.73 GiB,,3.37 GiB,,3.27 GiB,,3.68 GiB,
2026-02-10 11:44:00,3.74 GiB,,3.38 GiB,,3.28 GiB,,3.72 GiB,
2026-02-10 11:48:00,3.75 GiB,,3.39 GiB,,3.29 GiB,,3.76 GiB,
2026-02-10 11:52:00,3.75 GiB,,3.40 GiB,,3.30 GiB,,3.79 GiB,
2026-02-10 11:56:00,3.76 GiB,,3.54 GiB,,3.31 GiB,,3.72 GiB,
2026-02-10 12:00:00,3.77 GiB,,3.54 GiB,,3.33 GiB,,3.76 GiB,
2026-02-10 12:04:00,3.81 GiB,,3.59 GiB,,3.34 GiB,,3.83 GiB,
2026-02-10 12:08:00,3.82 GiB,,3.59 GiB,,3.35 GiB,,3.87 GiB,
2026-02-10 12:12:00,3.82 GiB,,3.60 GiB,,3.36 GiB,,3.81 GiB,
2026-02-10 12:16:00,3.84 GiB,,3.61 GiB,,3.37 GiB,,3.84 GiB,
2026-02-10 12:20:00,3.84 GiB,,3.62 GiB,,3.38 GiB,,3.87 GiB,
2026-02-10 12:24:00,3.85 GiB,,3.63 GiB,,3.42 GiB,,3.84 GiB,
2026-02-10 12:28:00,3.85 GiB,,3.64 GiB,,3.43 GiB,,3.87 GiB,
